"id","latitude","longitude","brightness","scan","track","brightT31","frp","acqDate","acqTime","daynight","satellite","confidence","version","alertLevel","alertSent","source","createdAt"
"902","44.95068","-64.75697","297.46","0.46","0.39","280.86","1.32","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.496"
"903","44.95422","-64.75556","310.5","0.46","0.39","284.1","1.32","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.498"
"904","45.07256","-83.40367","299.23","0.42","0.61","288.51","1.92","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.499"
"905","45.07273","-83.40917","331.53","0.42","0.61","292.35","4.09","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.501"
"906","45.11081","-73.01417","296.08","0.44","0.38","284.91","0.83","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.502"
"907","45.30525","-74.9915","302.2","0.52","0.41","284.06","0.53","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.504"
"908","45.3407","-73.52533","301.99","0.46","0.39","286.88","1.06","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.505"
"909","45.61584","-74.70821","296.47","0.51","0.41","286.02","1.03","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.506"
"910","45.78164","-73.91618","296.42","0.48","0.4","283.94","0.76","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.508"
"911","45.78307","-73.91067","302.48","0.48","0.4","284.03","0.36","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.509"
"912","45.83498","-73.25056","311.19","0.45","0.39","285.61","1.88","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.511"
"913","45.83857","-73.24969","321.57","0.45","0.39","288.11","2.97","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.512"
"914","45.94666","-74.26694","298.31","0.49","0.4","286.81","0.67","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.513"
"915","46.04118","-73.14438","298.39","0.45","0.39","285.5","1.1","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.515"
"916","46.04476","-73.14351","308.85","0.45","0.39","287.08","1.1","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.516"
"917","46.19379","-78.6244","316.67","0.51","0.49","287.18","2.18","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.517"
"918","46.19839","-78.62378","309.57","0.51","0.49","288.3","2.18","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.519"
"919","46.48917","-81.03623","310.97","0.33","0.55","287.45","1.4","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.52"
"920","46.51739","-84.38082","305.06","0.48","0.65","284.12","1.75","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.521"
"921","46.52333","-84.37392","302.85","0.48","0.65","285.23","1.75","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.522"
"922","46.52345","-84.38048","320.45","0.48","0.65","285.27","1.75","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.524"
"923","48.25355","-79.02445","338.5","0.55","0.51","284.08","5.81","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.525"
"924","48.2539","-79.02294","339.08","0.55","0.51","284.98","7.03","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.526"
"925","49.5164","-82.48579","305.85","0.41","0.6","283.72","0.19","2025-10-05","640","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.528"
"926","38.59797","-82.82797","307.97","0.35","0.57","290.04","1.59","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.529"
"927","38.59821","-82.83212","303.44","0.35","0.57","290.03","1.54","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.53"
"928","38.59923","-82.82373","301.11","0.35","0.57","288.29","0.82","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.532"
"929","38.59949","-82.82789","307.86","0.35","0.57","290.1","0.82","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.533"
"930","38.762","-85.00176","312.38","0.46","0.64","289.89","1.81","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.534"
"931","38.77752","-79.39725","296.67","0.46","0.47","282.14","0.95","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.536"
"932","38.83232","-84.24299","298.98","0.42","0.61","287.06","1.03","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.537"
"933","38.83807","-84.24271","310.36","0.42","0.61","289.38","1.68","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.538"
"934","38.99463","-87.73003","298.46","0.65","0.73","288.42","1.09","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.539"
"935","39.00056","-87.72781","303.4","0.65","0.73","291.05","1.86","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.541"
"936","39.00146","-87.72983","301.13","0.65","0.73","290.33","2.02","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.542"
"937","39.33186","-81.36869","298.54","0.6","0.53","284.96","0.6","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.543"
"938","39.33318","-81.369","295.93","0.6","0.53","285.08","1.03","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.544"
"939","39.36889","-81.53034","299.81","0.61","0.53","286.99","0.73","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.546"
"940","39.47106","-84.38932","306.02","0.43","0.62","288.54","1.24","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.547"
"941","39.47175","-84.40487","310.06","0.43","0.62","289.84","1.45","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.549"
"942","39.4822","-84.378","305.82","0.43","0.62","288.27","1.13","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.55"
"943","39.4873","-84.36198","299.48","0.43","0.62","288.9","1.44","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.551"
"944","39.58567","-75.63634","300.95","0.47","0.4","290.32","1.22","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.552"
"945","39.58934","-75.63561","303.74","0.47","0.4","291.29","1.57","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.554"
"946","39.60624","-74.77577","312.44","0.44","0.39","286.81","1.8","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.555"
"947","39.65303","-77.68079","295.9","0.39","0.44","285.47","0.25","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.556"
"948","39.73388","-82.15092","304.37","0.33","0.55","286.83","0.75","2025-10-05","642","N","N","n","2.0NRT","0","False","NASA-FIRMS","2025-10-05 17:41:38.558"
