"id","latitude","longitude","alertDate","forecastInitTime","createdAt","maxTemperature","minTemperature","maxHeatIndex","alertLevel","alertMessage","source"
2,"25","-98.75","2025-10-05","2025-10-04 12:00:00","2025-10-05 19:26:08.508","36.80568847656252","22.07109985351565","32.25479653253274",1,"WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
3,"26.25","-98.75","2025-10-05","2025-10-04 12:00:00","2025-10-05 19:26:08.51","37.4428649902344","22.63359985351565","32.76713608520884",1,"WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
4,"27.5","-100","2025-10-05","2025-10-04 12:00:00","2025-10-05 19:26:08.511","36.7553649902344","22.53984985351565","32.21081146784554",1,"WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
5,"27.5","-98.75","2025-10-05","2025-10-04 12:00:00","2025-10-05 19:26:08.512","36.5053649902344","22.03984985351565","32.00663540178666",1,"WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
6,"28.75","-98.75","2025-10-05","2025-10-04 12:00:00","2025-10-05 19:26:08.514","36.6928649902344","21.88359985351565","32.15979400847806",1,"WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
7,"25","-98.75","2025-10-06","2025-10-04 12:00:00","2025-10-05 19:26:09.057","36.84026489257815","22.1557556152344","32.28045554033088",1,"WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
8,"26.25","-98.75","2025-10-06","2025-10-04 12:00:00","2025-10-05 19:26:09.06","37.0379577636719","23.2182556152344","32.44139336671915",1,"WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
9,"25","-98.75","2025-10-07","2025-10-04 12:00:00","2025-10-05 19:26:09.515","37.29750976562502","22.2902770996094","32.65156072517178",1,"WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
10,"26.25","-98.75","2025-10-07","2025-10-04 12:00:00","2025-10-05 19:26:09.517","37.42250976562502","23.5715270996094","32.7559575492014",1,"WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
11,"25","-98.75","2025-10-08","2025-10-04 12:00:00","2025-10-05 19:26:09.98","36.54058227539065","21.5692077636719","32.03894153876271",1,"WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
12,"26.25","-98.75","2025-10-08","2025-10-04 12:00:00","2025-10-05 19:26:09.982","36.54058227539065","23.5692077636719","32.0419965667504",1,"WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
13,"27.5","-100","2025-10-08","2025-10-04 12:00:00","2025-10-05 19:26:09.983","37.27987060546877","24.0692077636719","32.63717981525572",1,"WATCH: Hot conditions - limit outdoor exposure","GEOS-CF"
